country,country_id,min_year,max_year,long,lat,writer_total_year,writer_total_cumulative,writer_1,writer_1_gender,writer_1_birth,writer_1_popup,writer_1_language_1,writer_1_language_2,writer_1_language_3,writer_1_language_4,writer_1_languages,writer_1_role_1,writer_1_role_2,writer_1_role_3,writer_1_role_4,writer_1_role_5,writer_2,writer_2_gender,writer_2_birth,writer_2_popup,writer_2_language_1,writer_2_language_2,writer_2_language_3,writer_2_language_4,writer_2_languages,writer_2_role_1,writer_2_role_2,writer_2_role_3,writer_2_role_4,writer_2_role_5,writer_3,writer_3_gender,writer_3_birth,writer_3_popup,writer_3_language_1,writer_3_language_2,writer_3_language_3,writer_3_language_4,writer_3_languages,writer_3_role_1,writer_3_role_2,writer_3_role_3,writer_3_role_4,writer_3_role_5,writer_4,writer_4_gender,writer_4_birth,writer_4_popup,writer_4_language_1,writer_4_language_2,writer_4_language_3,writer_4_language_4,writer_4_languages,writer_4_role_1,writer_4_role_2,writer_4_role_3,writer_4_role_4,writer_4_role_5,writer_5,writer_5_gender,writer_5_birth,writer_5_popup,writer_5_language_1,writer_5_language_2,writer_5_language_3,writer_5_language_4,writer_5_languages,writer_5_role_1,writer_5_role_2,writer_5_role_3,writer_5_role_4,writer_5_role_5,popup_year,subregion,region_un,monolingual_writer_total_year,multilingual_writer_total_year,monolingual_writer_total_cumulative,multilingual_writer_total_cumulative,writerPop
Afghanistan,1901,1977,2005,66.00473366,33.83523073,1,1,Lutfurahman JONAID ,Male,1948,Lutfurahman JONAID (1977)<br />,English,#N/A,#N/A,#N/A,1,playwright,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr />Lutfurahman JONAID (1977)<br />,Southern Asia,Asia,1,0,1,0,
Afghanistan,1901,2006,2011,66.00473366,33.83523073,1,2,Partaw NADERI ,Male,1953,Partaw NADERI (2006)<br />,Dari,#N/A,#N/A,#N/A,1,critic,journalist,poet,scholar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr />Partaw NADERI (2006)<br />,Southern Asia,Asia,1,0,2,0,
Afghanistan,1901,2012,2013,66.00473366,33.83523073,1,3,Mohibullah ZEGHAM ,Male,\N,Mohibullah ZEGHAM (2012)<br />,Pashto,#N/A,#N/A,#N/A,1,fiction writer,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr />Mohibullah ZEGHAM (2012)<br />,Southern Asia,Asia,1,0,3,0,
Afghanistan,1901,2014,2014,66.00473366,33.83523073,1,4,Mujib MEHRDAD ,Male,1984,Mujib MEHRDAD (2014)<br />,Persian,#N/A,#N/A,#N/A,1,playwright,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr />Mujib MEHRDAD (2014)<br />,Southern Asia,Asia,1,0,4,0,
Afghanistan,1901,2015,2021,66.00473366,33.83523073,1,5,Homeira QADARI ,Female,1980,Homeira QADARI (2015)<br />,Dari,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr />Homeira QADARI (2015)<br />,Southern Asia,Asia,1,0,5,0,
Albania,1865,1992,1995,20.04983396,41.14244989,2,2,Fatos LUBONJA ,Male,1951,Fatos LUBONJA (1992)<br />,Albanian,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,Uk BUCPAPA ,Male,1958,Uk BUCPAPA (1992)<br />,Albanian,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(2)</b><hr />Fatos LUBONJA (1992)<br />Uk BUCPAPA (1992)<br />,Southern Europe,Europe,2,0,2,0,
Albania,1865,1996,1998,20.04983396,41.14244989,1,3,Lindita ARAPI ,Female,1972,Lindita ARAPI (1996)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr />Lindita ARAPI (1996)<br />,Southern Europe,Europe,1,0,3,0,
Albania,1865,1999,2005,20.04983396,41.14244989,1,4,Luljeta LLESHANAKU ,Female,1968,Luljeta LLESHANAKU (1999)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr />Luljeta LLESHANAKU (1999)<br />,Southern Europe,Europe,1,0,4,0,
Albania,1865,2006,2021,20.04983396,41.14244989,1,5,Gentian ÇOÇOLI,Male,1972,Gentian ÇOÇOLI (2006)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr />Gentian ÇOÇOLI (2006)<br />,Southern Europe,Europe,1,0,5,0,
Algeria,2030,1988,2016,2.617323009,28.15893849,1,1,Mohamed MAGANI ,Male,1948,Mohamed MAGANI (1988)<br />,Arabic,French,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr />Mohamed MAGANI (1988)<br />,Northern Africa,Africa,0,1,0,1,
